"","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU"
"37734","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","casseliflavus","37734"
"2005703","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","wangshanyuanii","2005703"
"1354","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","hirae","1354"
"53345","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","durans","53345"
"160453","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","gilvus","160453"
"53346","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","mundtii","53346"
"1353","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","gallinarum","1353"
"417368","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","thailandicus","417368"
"2562451","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","sp. CF-49","2562451"
"2571750","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","sp. MN-17","2571750"
"2714947","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","sp. HDW17B","2714947"
"218144","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","carniphilus","218144"
"633807","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","penaei","633807"
"519472","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","teuberi","519472"
"51669","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","halophilus","51669"
"290335","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","koreensis","290335"
"526944","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus","osmophilus","526944"
"33970","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","plutonius","33970"
"47715","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lactobacillus rhamnosus","47715"
"1597","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","paracasei","1597"
"1582","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lactobacillus casei","1582"
"88233","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lactobacillus manihotivorans","88233"
"33959","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","johnsonii","33959"
"1584","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii","1584"
"57037","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","zeae","57037"
"147802","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","iners","147802"
"1587","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","helveticus","1587"
"2419772","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","sp. BHWM-4","2419772"
"1545702","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","sp. wkB8","1545702"
"2695882","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","sp. 3B(2020)","2695882"
"2099789","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","sp. CBA3606","2099789"
"2714036","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","sp. NFFJ11","2714036"
"51664","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","dextrinicus","51664"
"109790","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","jensenii","109790"
"47770","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","crispatus","47770"
"2107999","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","paragasseri","2107999"
"1600","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acetotolerans","1600"
"1604","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","amylovorus","1604"
"1579","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acidophilus","1579"
"2269374","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","terrae","2269374"
"1218494","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","helsingborgensis","1218494"
"1218493","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","kullabergensis","1218493"
"1596","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","gasseri","1596"
"267818","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","kefiranofaciens","267818"
"303541","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","apis","303541"
"83683","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","amylolyticus","83683"
"1599","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Lactobacillus sakei","1599"
"28038","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Lactobacillus curvatus","28038"
"60519","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Lactobacillus graminis","60519"
"164393","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Lactobacillus fuchuensis","164393"
"1623","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","ruminis","1623"
"1622","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Lactobacillus murinus","1622"
"1624","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","salivarius","1624"
"1605","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Lactobacillus animalis","1605"
"1601","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","agilis","1601"
"89059","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Lactobacillus acidipiscis","89059"
"228229","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Lactobacillus saerimneri","228229"
"1598","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","reuteri","1598"
"1613","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum","1613"
"35787","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus pontis","35787"
"97478","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus mucosae","97478"
"104955","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus frumenti","104955"
"1633","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus vaginalis","1633"
"51663","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","damnosus","51663"
"1255","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","pentosaceus","1255"
"1254","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","acidilactici","1254"
"114090","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","inopinatus","114090"
"187452","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","claussenii","187452"
"1193095","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus","Lactobacillus hokkaidonensis","1193095"
"1296540","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus","Lactobacillus nenjiangensis","1296540"
"1590","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","plantarum","1590"
"1589","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactobacillus pentosus","1589"
"60520","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactobacillus paraplantarum","60520"
"1847728","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus allii","1847728"
"938155","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus futsaii","938155"
"1612","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus farciminis","1612"
"1074467","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus heilongjiangensis","1074467"
"2304606","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus zhachilii","2304606"
"1007676","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus ginsenosidimutans","1007676"
"83526","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus paralimentarius","83526"
"1602","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Lactobacillus alimentarius","1602"
"468911","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Liquorilactobacillus","Lactobacillus hordei","468911"
"82688","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Liquorilactobacillus","nagelii","82688"
"1618","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Liquorilactobacillus","Lactobacillus mali","1618"
"1580","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Lactobacillus brevis","1580"
"2292255","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Lactobacillus suantsaii","2292255"
"637971","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Lactobacillus koreensis","637971"
"267363","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Lactobacillus zymae","267363"
"152331","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lactobacillus parabuchneri","152331"
"1581","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lactobacillus buchneri","1581"
"33962","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lactobacillus kefiri","33962"
"1588","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lactobacillus hilgardii","1588"
"1138822","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus","Lactobacillus curieae","1138822"
"1610","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Loigolactobacillus","Lactobacillus coryniformis","1610"
"375175","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Loigolactobacillus","Lactobacillus backii","375175"
"1607","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Loigolactobacillus","Lactobacillus bifermentans","1607"
"176292","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Lactobacillus malefermentans","176292"
"240427","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","Lactobacillus paracollinoides","240427"
"231049","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Furfurilactobacillus","Lactobacillus rossiae","231049"
"53444","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus","Lactobacillus lindneri","53444"
"1625","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus","Lactobacillus sanfranciscensis","1625"
"1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus","Lactobacillus fructivorans","1614"
"304207","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Schleiferilactobacillus","Lactobacillus harbinensis","304207"
"1603","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus","amylophilus","1603"
"1720083","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Acetilactobacillus","jinshanensis","1720083"
"1303590","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Bombilactobacillus","Lactobacillus bombi","1303590"
"148814","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Lactobacillus kunkeei","148814"
"1245","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","mesenteroides","1245"
"1252","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","carnosum","1252"
"1244","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","gelidum","1244"
"33968","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","pseudomesenteroides","33968"
"255248","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","garlicum","255248"
"33964","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","citreum","33964"
"1246","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","lactis","1246"
"1511761","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","suionicum","1511761"
"759620","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","ceti","759620"
"1583","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","confusa","1583"
"46256","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","hellenica","46256"
"1162633","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","diestrammenae","1162633"
"137591","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","cibaria","137591"
"1249","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","paramesenteroides","1249"
"1631871","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","jogaejeotgali","1631871"
"2506420","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","cryptocerci","2506420"
"1629","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","viridescens","1629"
"1247","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Oenococcus","oeni","1247"
"336988","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Oenococcus","kitaharae","336988"
"2259623","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Oenococcus","sp. UCMA 16435","2259623"
"2203724","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Oenococcus","sicerae","2203724"
"2751","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","maltaromaticum","2751"
"2748","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","divergens","2748"
"147709","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","inhibens","147709"
"1564681","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","sp. CP1","1564681"
"208596","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","sp. 17-4","208596"
"1868793","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","porci","1868793"
"2496265","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","ciconiae","2496265"
"708126","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","dankookensis","708126"
"1903686","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","sp. PTS2502","1903686"
"1868794","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","arthritidis","1868794"
"29394","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","pigrum","29394"
"1911586","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Marinilactibacillus","sp. 15R","1911586"
"1377","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","viridans","1377"
"1376","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","urinae","1376"
"119206","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","sanguinicola","119206"
"87541","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","christensenii","87541"
"128944","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","urinaehominis","128944"
"46125","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","defectiva","46125"
"2584943","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum","sp. KGMB06250","2584943"
"1522","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","[Clostridium] innocuum","1522"
"1547","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","ramosum","1547"
"2583452","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacterium","intestinale","2583452"
"39483","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","cylindroides","39483"
"2487118","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Intestinibaculum","porci","2487118"
"1648","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","rhusiopathiae","1648"
"2714928","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","sp. HDW6A","2714928"
"2714930","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","sp. HDW6C","2714930"
"2714929","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","sp. HDW6B","2714929"
"225084","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","inopinata","225084"
"1514105","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","larvae","1514105"
"2485784","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","piscisicarius","2485784"
"1712675","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","sp. H121","1712675"
"154288","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","sanguinis","154288"
"1702221","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","rodentium","1702221"
"29466","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","parvula","29466"
"2682456","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","sp. T1-7","2682456"
"39777","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","atypica","39777"
"39778","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","dispar","39778"
"248315","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","rodentium","248315"
"2144175","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","stantonii","2144175"
"907","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","elsdenii","907"
"39950","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","pneumosintes","39950"
"2582419","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","hominis","2582419"
"2161821","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","massiliensis","2161821"
"713030","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. oral taxon 136","713030"
"712538","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. oral taxon 478","712538"
"1884263","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. oral taxon 920","1884263"
"712528","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. oral taxon 126","712528"
"2754044","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sp. Marseille-Q3039","2754044"
"971","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","ruminantium","971"
"69823","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sputigena","69823"
"437897","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","funiformis","437897"
"158847","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","hypermegale","158847"
"865","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Pectinatus","frisingensis","865"
"484770","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","sp. UFO1","484770"
"365349","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Pelosinus","fermentans","365349"
"1930071","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Methylomusa","anaerophila","1930071"
"2377","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Sporomusaceae","Sporomusa","termitida","2377"
"905","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","fermentans","905"
"187327","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","intestini","187327"
"33025","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","faecium","33025"
"1260","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","magna","1260"
"1912856","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","sp. ING2-D1G","1912856"
"54006","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","ivorii","54006"
"54005","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","harei","54005"
"1870984","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","mediterraneensis","1870984"
"33034","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","prevotii","33034"
"33033","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","micra","33033"
"1852373","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Murdochiella","vaginalis","1852373"
"2507161","Bacteria","Firmicutes","Tissierellia","Tissierellales","Tissierellaceae","Tissierella","Tissierellia sp. JN-28","2507161"
"1582259","Bacteria","Firmicutes","Tissierellia","Tissierellales","Tissierellaceae","Gudongella","oleilytica","1582259"
"1556","Bacteria","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae","Gottschalkia","acidurici","1556"
"1852374","Bacteria","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae","Ezakiella","massiliensis","1852374"
"1871025","Bacteria","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae","Ndongobacter","massiliensis","1871025"
"243899","Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae","Limnochorda","endosymbiont 'TC1' of Trimyema compressum","243899"
"1555112","Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae","Limnochorda","pilosa","1555112"
"216816","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","longum","216816"
"1685","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","breve","1685"
"1681","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","bifidum","1681"
"28026","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudocatenulatum","28026"
"28025","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","animalis","28025"
"1680","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis","1680"
"1686","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","catenulatum","1686"
"1765219","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","eulemuris","1765219"
"78448","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pullorum","78448"
"33905","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","thermophilum","33905"
"1683","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","angulatum","1683"
"1689","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","dentium","1689"
"158787","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","scardovii","158787"
"1694","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum","1694"
"1691","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","indicum","1691"
"1603886","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","lemurum","1603886"
"77635","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","subtile","77635"
"1684","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","asteroides","1684"
"2702","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella","vaginalis","2702"
